client_id,client_account,revenue_in_millions
1,Amazon,732
2,Microsoft,267
3,HDFC Bank,679
4,Apollo Hospitals,596
5,Microsoft,86
6,Wipro,242
7,HDFC Bank,365
8,Wipro,333
9,Apollo Hospitals,500
10,ICICI Bank,679
11,HDFC Bank,457
12,Google,744
13,HDFC Bank,446
14,Nestle,343
15,HDFC Bank,166
16,Accenture,453
17,Tata Steel,695
18,Cognizant,230
19,Reliance,480
20,ICICI Bank,527
21,Amazon,594
22,Amazon,583
23,Apollo Hospitals,495
24,Microsoft,724
25,Deloitte,150
26,Apollo Hospitals,267
27,Flipkart,273
28,Cognizant,355
29,Nestle,406
30,Cognizant,222
31,Nestle,745
32,Microsoft,456
33,Microsoft,632
34,Microsoft,239
35,Tata Steel,641
36,Tata Steel,345
37,Wipro,425
38,Reliance,82
39,Apollo Hospitals,440
40,Amazon,340
41,Apollo Hospitals,356
42,Apollo Hospitals,532
43,Cognizant,406
44,HDFC Bank,507
45,Infosys,532
46,Tata Steel,478
47,HDFC Bank,322
48,Amazon,546
49,Nestle,510
50,HDFC Bank,428
51,Accenture,149
52,Tata Steel,133
53,Flipkart,167
54,Microsoft,344
55,Apollo Hospitals,241
56,Nestle,736
57,Google,972
58,Microsoft,423
59,Reliance,210
60,Cognizant,360
61,Deloitte,175
62,HDFC Bank,721
63,Microsoft,185
64,Deloitte,390
65,Amazon,772
66,Nestle,151
67,Flipkart,112
68,Flipkart,453
69,Amazon,277
70,Nestle,525
71,Nestle,458
72,ICICI Bank,746
73,Nestle,470
74,Wipro,477
75,Amazon,523
76,ICICI Bank,984
77,Accenture,124
78,Microsoft,276
79,Infosys,600
80,Infosys,293
81,Microsoft,188
82,Microsoft,358
83,HDFC Bank,1004
84,Tata Steel,182
85,Infosys,237
86,Accenture,688
87,Reliance,475
88,Flipkart,461
89,Microsoft,160
90,Microsoft,155
91,Infosys,550
92,Microsoft,432
93,HDFC Bank,424
94,Deloitte,1033
95,Microsoft,391
96,ICICI Bank,398
97,Infosys,687
98,ICICI Bank,216
99,Google,556
100,Deloitte,392
101,Apollo Hospitals,405
102,ICICI Bank,120
103,Cognizant,584
104,Apollo Hospitals,135
105,Google,598
106,Tata Steel,157
107,Amazon,203
108,Infosys,176
109,Flipkart,821
110,Apollo Hospitals,506
111,Amazon,248
112,Reliance,478
113,ICICI Bank,631
114,Tata Steel,161
115,Accenture,716
116,ICICI Bank,817
117,Google,671
118,ICICI Bank,225
119,Accenture,100
120,Nestle,185
121,Flipkart,357
122,Wipro,292
123,Google,205
124,Flipkart,605
125,Deloitte,438
126,Accenture,148
127,Nestle,191
128,Google,161
129,Flipkart,260
130,Accenture,543
131,Apollo Hospitals,179
132,HDFC Bank,529
133,Deloitte,299
134,ICICI Bank,353
135,Tata Steel,360
136,Cognizant,273
137,Microsoft,494
138,Reliance,516
139,ICICI Bank,188
140,Amazon,281
141,Google,802
142,Infosys,177
143,Amazon,166
144,Apollo Hospitals,176
145,Reliance,262
146,Apollo Hospitals,295
147,Google,437
148,Reliance,460
149,Accenture,409
150,ICICI Bank,197
151,Cognizant,85
152,HDFC Bank,224
153,Infosys,379
154,Cognizant,429
155,Google,488
156,Wipro,752
157,Tata Steel,225
158,Nestle,688
159,Amazon,395
160,Microsoft,474
161,HDFC Bank,514
162,ICICI Bank,823
163,ICICI Bank,302
164,Deloitte,417
165,Flipkart,367
166,Wipro,450
167,Microsoft,880
168,Google,563
169,Apollo Hospitals,788
170,Nestle,456
171,Accenture,681
172,Flipkart,681
173,Wipro,278
174,Apollo Hospitals,412
175,Google,247
176,Deloitte,585
